Name	Handle	Party
Ben Ray Luj�n	@SenatorLujan	Democrat
Martin Heinrich	@MartinHeinrich	Democrat
Debra Haaland	@RepDebHaaland	Democrat
Yvette Herrell	@Yvette4congress	Republican
Teresa Leger Fernandez	@TeresaForNM	Democrat
Chuck Schumer	@SenSchumer	Democrat
Kirsten Gillibrand	@SenGillibrand	Democrat
Lee Zeldin	@RepLeeZeldin	Republican
Andrew Garbarino		Republican
Tom Suozzi	@Tom_Suozzi	Democrat
Kathleen Rice	@RepKathleenRice	Democrat
Gregory W. Meeks	@RepGregoryMeeks	Democrat
Grace Meng	@RepGraceMeng	Democrat
Nydia M. Vel�zquez	@NydiaVelazquez	Democrat
Hakeem Jeffries	@RepJeffries	Democrat
Yvette D. Clarke	@RepYvetteClarke	Democrat
Jerrold Nadler	@RepJerryNadler	Democrat
Nicole Malliotakis	@Nmalliotakis	Democrat
Carolyn Maloney	@RepMaloney	Democrat
Adriano Espaillat	@EspaillatNY	Democrat
Alexandria Ocasio-Cortez	@RepAOC	Democrat
Ritchie Torres	@RitchieTorres	Democrat
Jamaal Bowman	@JamaalBowmanNY	Democrat
Mondaire Jones	@MondaireJones	Democrat
Sean Patrick Maloney	@RepSeanMaloney	Democrat
Antonio Delgado	@RepDelgado	Democrat
Paul D. Tonko	@RepPaulTonko	Democrat
Elise Stefanik	@RepStefanik	Republican
Claudia Tenney	@claudiatenney	Republican
Tom Reed	@RepTomReed	Republican
John Katko	@RepJohnKatko	Republican
Joseph Morelle	@RepJoeMorelle	Democrat
Brian Higgins	@RepBrianHiggins	Democrat
Chris Jacobs	@jacobsny27	Republican
Thom Tillis	@SenThomTillis	Republican
Richard Burr	@SenatorBurr	Republican
G.K. Butterfield	@GKButterfield	Democrat
Deborah K. Ross	@DeborahRossNC	Democrat
Greg Murphy	@RepGregMurphy	Republican
David Price	@RepDavidEPrice	Democrat
Virginia Foxx	@virginiafoxx	Republican
Kathy Manning	@KathyManningNC	Democrat
David Rouzer	@RepDavidRouzer	Republican
Richard Hudson	@RepRichHudson	Republican
Dan Bishop	@jdanbishop	Republican
Patrick T. McHenry	@PatrickMcHenry	Republican
Madison Cawthorn	@CawthornforNC	Republican
Alma Adams	@RepAdams	Democrat
Ted Budd	@BuddforCongress	Republican
John Hoeven	@SenJohnHoeven	Republican
Kevin Cramer	@SenKevinCramer	Republican
Kelly Armstrong	@RepArmstrongND	Republican
Gregorio Sablan	@Kilili_Sablan	Democrat
Rob Portman	@senrobportman	Republican
Sherrod Brown	@SenSherrodBrown	Democrat
Steve Chabot	@RepSteveChabot	Republican
Brad Wenstrup	@RepBradWenstrup	Republican
Joyce Beatty	@RepBeatty	Democrat
Jim Jordan	@Jim_Jordan	Republican
Robert E. Latta	@boblatta	Republican
Bill Johnson	@RepBillJohnson	Republican
Bob Gibbs	@RepBobGibbs	Republican
Warren Davidson	@WarrenDavidson	Republican
Marcy Kaptur	@RepMarcyKaptur	Democrat
